tab_switches,typing_speed,idle_time,mouse_movements,copy_paste_count,suspicious
2,38,42,76,2,1
3,35,64,118,6,1
1,51,71,118,7,0
1,20,50,85,3,1
1,37,52,84,3,1
3,38,57,73,3,0
1,49,8,99,0,1
3,37,35,119,4,0
1,17,8,104,0,0
1,41,4,102,0,0
3,35,40,87,3,1
5,43,40,144,6,1
1,58,38,99,3,1
4,45,46,131,5,1
1,40,8,95,0,0
2,46,35,71,1,0
4,38,41,114,4,1
3,34,28,60,0,0
0,26,63,146,7,0
2,31,35,123,4,1
6,50,43,120,5,1
7,39,44,31,1,1
0,28,12,137,2,0
1,37,5,102,0,0
9,32,48,5,0,0
3,28,21,84,1,0
7,45,44,131,6,1
0,36,0,129,0,0
2,44,42,109,4,0
7,46,43,5,0,0
4,45,27,77,1,0
4,30,30,75,1,0
7,43,42,136,6,1
9,39,46,137,7,1
3,40,27,101,2,1
6,43,40,127,5,1
5,52,36,165,6,1
1,52,40,70,1,1
5,35,33,181,7,1
3,34,38,123,4,1
7,23,47,5,0,0
5,44,28,54,0,0
3,36,73,51,4,0
6,48,76,165,10,0
5,51,39,115,4,1
1,32,19,120,2,0
4,33,29,64,1,0
3,44,49,120,5,1
7,14,40,120,5,0
4,39,40,107,4,1
2,39,26,103,2,1
3,42,34,84,2,1
6,37,41,48,1,0
6,53,39,126,5,1
7,43,43,129,6,1
5,30,35,144,5,1
2,33,47,105,4,0
2,38,25,120,3,1
0,52,0,147,0,0
5,31,52,142,7,1
0,35,43,63,1,1
5,31,48,180,8,1
7,57,30,53,0,0
3,32,47,79,3,0
1,27,43,126,5,1
0,43,0,114,0,0
4,42,37,136,5,1
6,30,66,179,10,1
1,38,0,104,0,0
5,30,27,65,1,0
4,47,37,98,3,1
2,48,34,108,3,1
9,42,46,152,7,1
2,57,44,101,3,1
5,9,8,17,0,0
3,43,34,99,3,1
2,50,18,121,2,1
3,40,69,96,6,1
4,39,50,164,8,1
1,49,65,63,3,0
3,42,20,69,0,0
2,35,36,116,4,1
9,47,45,247,10,0
3,27,72,127,8,1
3,32,14,116,2,1
2,57,8,79,0,0
6,35,38,45,1,0
3,36,53,121,6,1
2,31,16,123,2,0
0,30,64,164,8,1
4,37,46,120,5,1
5,43,62,138,7,1
0,46,0,114,0,0
0,41,0,130,0,0
3,54,37,86,2,0
6,36,41,46,1,0
2,27,10,109,1,1
3,45,13,143,3,0
1,47,4,113,0,0
3,47,48,136,6,1
1,39,53,139,6,0
0,37,41,33,0,1
6,59,40,123,5,1
4,45,54,113,5,1
0,25,48,204,8,0
2,39,17,84,0,0
4,40,34,166,6,1
0,33,27,137,4,0
5,58,44,46,1,1
4,24,46,58,2,0
2,26,6,91,0,1
3,46,43,94,3,0
2,29,54,100,4,0
4,31,30,68,1,0
1,23,41,106,3,1
3,35,16,81,0,0
4,34,35,84,2,1
1,47,32,102,2,1
5,42,40,38,0,0
1,42,49,46,1,0
8,31,41,168,8,1
2,42,35,124,4,1
0,32,0,134,0,0
6,38,41,124,5,1
2,47,37,114,4,1
4,41,49,54,2,0
6,36,11,47,0,1
6,29,35,152,6,1
7,46,42,149,7,1
9,46,39,151,7,1
2,37,15,101,1,1
6,68,41,127,5,1
1,32,0,95,0,0
8,41,49,124,6,1
2,39,27,89,1,0
0,46,0,129,0,0
5,30,23,150,5,1
4,33,31,96,2,1
5,61,26,59,0,0
2,28,57,86,4,0
7,31,47,130,6,1
5,41,42,114,4,1
5,44,28,155,5,1
6,38,42,127,5,1
2,32,30,101,2,1
9,47,39,165,7,1
3,21,20,82,1,0
8,34,43,133,6,1
0,54,26,69,0,0
7,57,44,147,7,1
5,25,39,107,4,1
4,34,33,104,3,1
1,26,4,92,0,0
4,34,51,109,5,1
5,46,50,21,0,1
3,46,54,126,6,1
6,41,42,137,6,1
4,23,31,65,1,0
5,42,37,107,4,1
0,47,0,121,0,0
2,44,35,102,3,1
9,33,42,150,7,1
3,43,35,72,1,0
1,41,24,125,3,0
5,37,0,27,0,0
2,15,14,87,0,0
7,26,53,38,2,0
3,40,24,91,1,0
2,66,42,92,3,0
8,22,46,139,7,1
9,52,46,132,6,1
3,31,22,78,1,0
7,15,22,217,8,1
7,57,40,114,4,0
3,38,33,63,1,0
4,44,35,132,5,0
4,48,48,121,5,1
4,40,54,140,7,1
3,35,15,80,0,0
8,49,42,133,6,1
2,56,52,102,4,0
3,49,44,69,2,0
2,37,49,81,3,1
2,37,27,75,1,1
1,28,32,79,1,1
3,49,41,131,5,1
3,23,48,34,1,0
5,41,41,13,0,0
7,34,44,132,6,1
4,33,38,123,4,1
2,32,11,96,0,0
4,44,37,126,4,1
7,23,42,119,5,1
5,46,65,50,3,0
0,44,0,121,0,0
5,44,37,15,0,0
7,34,20,47,0,0
2,52,7,95,0,0
6,55,1,60,0,0
1,50,63,118,6,0
2,48,25,163,5,0
0,50,0,121,0,0
6,26,44,147,7,1
7,43,47,5,0,0
0,34,0,132,0,0
3,49,12,100,1,1
6,31,34,42,0,0
2,42,39,109,4,0
1,34,4,100,0,0
3,56,32,110,3,1
4,36,37,133,5,1
1,43,4,109,0,0
6,40,32,5,0,0
1,50,64,83,4,1
2,43,16,89,0,0
8,39,49,19,1,0
3,40,65,140,8,1
6,37,63,168,9,1
1,42,0,93,0,0
8,38,40,102,4,1
6,50,32,47,0,0
4,27,40,112,4,1
9,15,43,135,6,1
3,52,29,130,4,0
5,33,34,67,1,0
4,50,29,130,4,1
6,36,52,65,3,0
2,26,79,66,5,0
0,51,36,154,5,1
5,34,41,163,7,1
2,61,34,134,4,0
7,42,36,137,5,1
5,32,27,60,0,0
5,25,46,60,2,0
8,32,37,120,5,1
3,59,11,81,0,0
5,25,42,36,0,1
0,40,0,118,0,0
6,36,37,103,4,1
0,43,0,141,0,0
5,55,40,142,6,1
4,32,21,61,0,0
3,31,49,118,5,1
6,38,35,46,0,0
6,38,44,38,1,0
3,39,41,121,4,1
6,55,53,146,7,1
9,52,44,153,7,1
4,38,21,70,0,0
5,41,47,142,6,0
6,23,35,115,4,1
8,47,45,119,5,1
10,60,45,172,8,0
3,42,66,68,4,1
6,43,40,58,1,1
7,59,38,8,0,0
2,70,27,106,2,1
2,44,15,106,1,0
5,30,39,127,5,0
2,48,32,75,1,1
2,46,6,92,0,0
1,37,8,100,0,0
7,58,53,41,2,0
6,36,41,112,4,1
6,37,44,132,6,1
4,37,37,111,4,1
2,51,4,85,0,0
6,51,58,52,3,0
3,39,42,90,3,0
0,40,0,111,0,0
0,24,15,51,0,1
0,46,0,169,0,0
5,49,42,63,2,0
0,43,10,54,0,1
2,31,17,92,1,1
1,40,45,110,4,0
2,38,32,123,4,1
3,44,31,93,2,1
7,23,40,122,5,1
4,47,43,63,2,0
2,53,26,117,3,1
4,44,48,118,5,1
3,43,41,80,2,1
4,32,45,43,1,0
3,39,37,122,4,1
3,43,14,88,0,0
5,43,39,119,4,1
2,37,12,86,0,0
0,33,0,119,0,0
9,29,43,148,7,1
0,45,5,115,1,0
1,33,6,101,0,0
10,57,39,145,6,1
5,57,45,47,1,0
1,30,36,110,3,1
4,40,8,180,5,1
2,31,24,104,2,1
5,35,15,46,0,0
4,20,37,133,5,0
6,41,51,167,8,1
5,52,26,53,0,0
3,27,23,83,1,0
4,26,54,112,5,1
2,24,10,88,0,0
4,33,44,137,6,1
6,30,38,139,6,1
6,42,39,116,4,0
4,34,43,101,4,1
7,22,37,120,5,1
2,27,46,118,5,0
4,23,34,160,6,1
5,26,25,56,0,0
9,46,45,137,6,1
4,20,0,57,0,0
2,39,32,92,2,0
2,54,57,78,3,0
3,46,56,125,6,1
6,19,28,51,0,0
0,33,13,44,0,1
4,37,58,70,3,0
6,60,41,122,5,1
2,37,15,95,1,0
2,34,28,98,2,0
7,43,42,149,6,1
2,38,21,90,1,0
2,31,63,53,3,0
10,30,40,133,6,0
3,41,13,135,3,1
2,36,56,111,5,0
9,42,48,153,7,1
4,37,25,160,5,1
5,37,36,116,4,1
3,36,73,59,4,0
2,36,33,107,3,1
6,36,14,28,0,0
0,37,3,109,0,0
3,40,45,108,4,1
4,34,31,104,3,1
4,44,24,91,2,0
5,32,32,113,3,1
